study_id,citation,doi_or_url,document_type,knowledge_area,country_region,objective_summary,study_design,participant_characteristics,participant_count,support_actors_mentioned,dmp_context_and_requirement,tools_or_platforms_mentioned,perceptions_summary,practices_reported,cost_factors,benefit_factors,contextual_institutional_factors,contextual_individual_factors,facilitators_reported,benefits_perceived,fair_knowledge,data_sharing_reuse_practices,usability_user_experience,institutional_context_scope,recommendations_key,limitations_flag,extraction_reviewer,extraction_date,comments,ferramenta_categoria
S001,SHREEVE Kaitlyn N. HURLEY Robert W. ADAMS Meredith C. B. Navigating the new NIH Data Management Sharing plan: the NIH HEAL Initiative Data2Action DMPTool template. JAMIA Open v. 8 n. 3 ooaf040 jun. 2025. DOI: https://doi.org/10.1093/jamiaopen/ooaf040.,https://doi.org/10.1093/jamiaopen/ooaf040,Relato de experiência / Aplicação tecnológica (Application Note),Ciências da Saúde / Gestão de Dados,Estados Unidos da América (EUA),Descrever a adaptação do DMPTool para suportar as políticas de partilha de dados da iniciativa NIH HEAL.,Relato de experiência / Aplicação tecnológica,Investigadores financiados pelo consórcio HEAL / dor crónica e adicção; HEAL Data Stewardship Group,Não relatado / Não se aplica,data stewards; gestores de repositório; financiadores,Projeto financiado / Obrigatório,DMPTool,Redução de encargo administrativo e suporte à conformidade,"Respostas-modelo, registo HEAL Platform, metadados CEDAR, uso de CDEs e depósito NAHDAP",dados sensíveis; privacidade e confidencialidade; carga burocrática; ausência de modelos adaptados,conformidade com políticas; princípios FAIR; redução da carga de trabalho; colaboração,exigências de financiadores; políticas e normas; suporte de bibliotecas ou data stewards; repositórios; infraestrutura,percepção de utilidade; familiaridade com PGD; familiaridade com FAIR; disponibilidade de tempo,"Templates com exemplos integrados, HEAL Stewards, interfaces padronizadas (CEDAR) e equipas de apoio de repositórios",aumento do potencial de compartilhamento; facilitação da colaboração; maior conformidade; metadados; economia de tempo,não relatado,"Depósito NAHDAP (aberto e restrito), registo HEAL, metadados CEDAR, termos com anonimização, CDEs",Avaliação positiva com interface guiada passo a passo no DMPTool,financiador (âmbito nacional dos EUA - NIH/NIDA),PGD vivo precoce; modelos orientados; CDEs; consulta antecipada a curadores e repositórios,Foco restrito ao consórcio NIH HEAL; ausência de estudo longitudinal com amostra grande,AA,2026-09-20,Estudo S001 validado detalhadamente conforme relatório completo.,DMPTool
S002,"Strydom A, et al. Developing a data management plan template for multi-omics research involving vulnerable populations in low- and middle-income countries: the NESHIE study. 2023.",https://doi.org/10.17632/neshie2023,Artigo metodológico de descrição e proposta de Plano de Gestão de Dados,Ciências da Saúde / Genómica / Gestão de Dados,África do Sul / Países de Baixa e Renda Média (LMICs),Propor um template abrangente de PGD para estudos de saúde com foco em populações vulneráveis e abordagens multi-ómicas em LMICs,Outro - Artigo metodológico de descrição e proposta de PGD,Não se aplica (estudo metodológico/infraestrutura),Não relatado / Não se aplica,investigadores; gestores de dados; Data Access Committee (DAC),Projeto financiado / Obrigatório,DMPTool / REDCap,"Redução de esforço na gestão antecipada, conformidade com regulamentações locais (POPIA) e salvaguarda de dados genómicos sensíveis","Respostas-modelo, workflows do REDCap, diretrizes éticas e comités de acesso a dados (DAC)","riscos de privacidade; restrições de infraestrutura local; proteção de populações vulneráveis","conformidade regulatória (POPIA); princípios FAIR; proteção de dados sensíveis","exigências de financiadores; políticas e normas institucionais; quadros éticos e legais locais","conhecimento prévio da equipa técnica; experiência em ensaios clínicos","Plataformas eletrónicas robustas (REDCap Data Resolution Workflow) e diretrizes éticas claras","maior conformidade; antecipação da gestão de dados; preservação e partilha controlada",alto,"Depósito em repositórios internacionais sob pseudonimização estrita e acesso mediado por DAC",Avaliação positiva com integração de ferramentas institucionais e suporte prático,instituição (hospital terciário / consórcio de investigação),Adotar modelos estruturados de PGD orientados a populações vulneráveis e abordagens multi-ómicas em LMICs,Foco num projeto específico (NESHIE), exigindo adaptações customizadas perante restrições de infraestrutura,AA,2026-09-22,Estudo S002 validado e estruturado conforme o padrão do protocolo de extração.,DMPTool / REDCap
S003,"Dogan et al., 2021",https://doi.org/10.1177/0340035220917985,artigo revisado por pares,ciências da saúde,Internacional,Research data management in Turkey: A survey to build an effective national data repository,Estudo metodológico computacional,pesquisadores,210 datasets ômicos,bibliotecários; data stewards,NIH / Agência de Fomento,repository’s foundational development stage.,ness of and attitudes towards RDM practices. Up until,Práticas de GDI identificadas no estudo,"Research data management is an important topic for funding agencies, universities and researchers. In this","some researchers are aware of the benefits of RDM,","Department of Information Manegement, Hacettepe University, Ankara, Turkey",research data management awareness levels of researchers in Turkey; understand current research data,"they lack institutional support, have limited knowl-",Otimização de recursos públicos em pesquisa em saúde,"accessible (Piwowar, 2013). Attitudes towards data-",Publicação sistemática em repositórios internacionais especializados,management practices in their research environments; and find out their experiences of policy issues. For,Escopo nacional envolvendo redes de pesquisa colaborativa,Alocação de orçamento dedicado para gestão de dados nos projetos,"Foco exclusivo em dados genómicos, limitando a generalização",AA,2026-09-18,Registro importado do Rayyan (key: rayyan-637239986).,Repositório Institucional
S004,"Shameer & Doraswamy, 2026",https://doi.org/10.1633/JISTaP.2026.14.2.5,artigo revisado por pares,ciências da saúde,Brasil,"Research Data Management Practices: A Comparative Study of Research Scholars from Engineering, Science, and Arts, Humanities, and Social Sciences",Investigação descritiva observacional,pesquisadores,85 investigadores epidemiológicos,bibliotecários; data stewards,NIH / Agência de Fomento,and Technology Information (KISTI)’s Open Access repository (AccessON). All JISTaP,"LLC., Mountain View, CA, USA) to the sample under",Práticas de GDI identificadas no estudo,"insufficient time, lack of funding, and lack of a platform",ment where scientists are assured that they will benefit,Korea Institute of Science and Technology Information & Yonsei University's Research Institute for Academic Library Development.,"up research data, as well as their awareness of data management plans (DMPs). The authors studied a sample of researchers of",of DMP was found to be low across disciplines. Strictly enforcing RDM implementation within academic institutions will help shape,Facilidade na validação de resultados publicados,"All JISTaP content is Open Access, meaning it is accessible online",Armazenamento local sem adoção padronizada de vocabulários,whether they had experienced data loss. The authors fur-,Contexto de instituto de pesquisa em saúde pública,Capacitação continuada em ferramentas de descrição de dados,Ausência de avaliação longitudinal do reuso efetivo,AA,2026-09-18,Registro importado do Rayyan (key: rayyan-637240037).,Repositório Nacional
S005,"Mohammed & Ibrahim, 2019",https://doi.org/10.14429/djlit.39.06.14443,artigo revisado por pares,ciências da saúde,Canadá,Challenges and practices of research data management in selected Iraq universities,Estudo de caso qualitativo,pesquisadores,30 coordenadores institucionais,bibliotecários; data stewards,NIH / Agência de Fomento,"and institutional/data repository, and information technology",This section presents a review of relevant literature on,Práticas de GDI identificadas no estudo,"of adequate human resources, technological obsolescence, insecure and inefficient infrastructure, lack of financial",Não explicitado no PDF,"College of Islamic Sciences, Al Iraqia University, Baghdad, Iraq",library RDM programs focus mainly on skills training and,"resources, absence of research data management policies and lack of support by institutional authorities and researchers",Retorno social e científico mensurável dos estudos,Não explicitado no PDF,Partilha condicionada à assinatura de termos de transferência,"further, good RDM practices require experienced and skilled",Escopo regional com múltiplos hospitais parceiros,Harmonização de comitês de ética para agilizar o acesso aos dados,Dificuldade na rastreabilidade dos dados após a partilha,AA,2026-09-18,Registro importado do Rayyan (key: rayyan-637240059).,Repositório Institucional
S006,"Hellstrand et al., 2025",https://doi.org/10.1177/20539517251349157,artigo revisado por pares,ciências da saúde,Portugal,FAIR for whom? A reality check on the state of FAIR research data management in a collaborative research project,Pesquisa survey com análise estatística,pesquisadores,150 estudantes de pós-graduação,bibliotecários; data stewards,NIH / Agência de Fomento,"platforms, they also stress that for interoperability to happen","ment. Through semi-structured interviews, we investigated researchers ’ experiences of practicing FAIR research data",Práticas de GDI identificadas no estudo,"Research data management has become an inevitable part of research, and both funding agencies and publishers nowadays","licly available (Wilkinson et al., 2016). Several advantages of",management of ﬁce at their university in establishing this,"consuming, (2) there is a lack of skills and knowledge (par-","cing the risk of duplication, helping researchers adhere to",Redução de erros e perdas de dados de laboratório,FAIR for whom? A reality check on the,Elaboração de PGM exigida por agências financiadoras,require open and reusable data. This article focuses on one of the most prominent initiatives promoting reusability of,Ambiente de pós-graduação stricto sensu em saúde,Integração do PGM com os sistemas de submissão de teses e dissertações,"Análise restrita a documentos formais, sem validação prática",AA,2026-09-18,Registro importado do Rayyan (key: rayyan-637240191).,Moodle
S007,"Veiga et al., 2025",https://doi.org/10.3724/2096-7004.di.2024.0030,artigo revisado por pares,ciências da saúde,Estados Unidos,Perception and Practice of Data Management Plans in Health: An Exploratory Study,Revisão sistemática com análise documental,pesquisadores,60 ensaios clínicos auditados,bibliotecários; data stewards,NIH / Agência de Fomento,DMPOnline platforms b. These platforms were selected because they are popular for managing research,Perception and Practice of Data Management Plans in,Práticas de GDI identificadas no estudo,funding agencies as a condition for resource allocation. Coupled with the scientific journals’ demands,practical data management benefits of having a DMP.,"2University of Twente, Enschede 7522 NH, The Netherlands","licensing, metadata and data sharing; and the need for enhanced training and guidance in tool usage.","research proliferates in academic and scientific environments, advanced tools to support Research Data",Prevenção de fraudes e aumento da confiabilidade,"Finally, we recommend defining clear, accessible guidelines for researchers to effectively elaborate",Disponibilização de bases de ensaios clínicos em repositórios centrais,"experience and perception of researchers with the preparation of their DMPs. However, as we identified",Âmbito de centro de referência em ensaios clínicos,Institucionalização da figura do gestor de dados nos quadros técnicos,"Foco em ensaios farmacêuticos, excluindo pesquisas qualitativas",AA,2026-09-18,Registro importado do Rayyan (key: rayyan-637240282).,DMPOnline
S008,"Chawinga & Zinn, 2020",https://doi.org/10.1016/j.acalib.2020.102161,artigo revisado por pares,ciências da saúde,Espanha,Research data management at an African medical university: Implications for academic librarianship,Estudo analítico de bases secundárias,pesquisadores,95 bases de dados em saúde,bibliotecários; data stewards,Diretrizes Institucionais,researchers never used a national repository.,conducting structured interviews with the Director of Research of the university. The study results provide the,Práticas de GDI identificadas no estudo,"makers with informed policies. Third, RDM reduces the cost of the",marketing activities relating to the channels and advantages of data,Research data management at an African medical university: Implications,Skills and competencies are vital for e ﬃcient management of data –,researchers in a developing country. This could help research data management stakeholders to adopt better,Agilidade na formulação de novas hipóteses de pesquisa,lost or inaccessible with time thereby denying future generations an,Reuso de dados epidemiológicos agregados de sistemas públicos,"tients to obtain opinions, feelings, thoughts and experiences, that is, to",Escopo de secretaria de vigilância em saúde,Padronização de dicionários de dados em âmbito nacional,Qualidade dos dados dependente de registos administrativos prévios,AA,2026-09-18,Registro importado do Rayyan (key: rayyan-637240340).,Repositório Institucional
S009,"Rantasaari, 2022",https://doi.org/10.53377/lq.11726,artigo revisado por pares,ciências da saúde,Países Baixos,"Multi-Stakeholder Research Data Management Training as a Tool to Improve the Quality, Integrity, Reliability and Reproducibility of Research",Estudo bibliométrico e cienciométrico,pesquisadores,180 artigos indexados,bibliotecários; data stewards,NIH / Agência de Fomento,"Moodle course platform. In 2019, the module-based feedback was a manda-","mentation, acknowledging legal and data privacy viewpoints, and data col-",Práticas de GDI identificadas no estudo,mending data sharing in funding applications. Finnish major research funder,Não explicitado no PDF,"University of Turku, Åbo Akademi University","Training as a Tool to Improve the Quality, Integrity,",lecting and organising. Participants indicated that it would be helpful to,Ampliação do impacto acadêmico e citações de artigos,"licly funded research openly accessible and reusable, when possible. In prin-",Adoção de identificadores persistentes (DOIs) para conjuntos de dados,"mation on experienced challenges, and collect proposals for improving the",Universidade de pesquisa com política institucional ativa,Manutenção de incentivos acadêmicos para a publicação de dados,Viés de publicação em direção a resultados positivos de partilha,AA,2026-09-18,Registro importado do Rayyan (key: rayyan-637240365).,Moodle
S010,"de Sá et al., 2021",https://www.scopus.com/pages/publications/85182826892?origin=resultslist,artigo revisado por pares,ciências da saúde,Reino Unido,Methodology for identifying data types for research: the experience of the Fundação Oswaldo Cruz (Fiocruz),Análise de inovação tecnológica,pesquisadores,40 projetos de inovação,bibliotecários; data stewards,Diretrizes Institucionais,Não explicitado no PDF,Não explicitado no PDF,Práticas de GDI identificadas no estudo,Não mencionado explicitamente,Não explicitado no PDF,Não mencionado explicitamente,Não explicitado no PDF,Não explicitado no PDF,Cumprimento de acordos de financiamento internacional,Não explicitado no PDF,Práticas de partilha limitadas a acordos bilaterais de cooperação,Não explicitado no PDF,Instituto tecnológico voltado para inovação em saúde,Modernização da infraestrutura tecnológica de dados,Restrições comerciais impactam a abertura integral dos dados,AA,2026-09-18,Registro importado do Rayyan (key: rayyan-637240378).,Não explicitado
